date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-10-20,12413.88,12537.59,12412.86,12438.88,2594988.0,3793283759.0,1252270215.0,0.002072226879563689
2025-10-21,12448.01,12541.35,12418.15,12475.82,2544267.0,3727984130.0,1252270215.0,0.0020317236404125446
2025-10-22,12474.29,12505.43,12422.41,12445.45,1819492.0,2657486636.0,1252270215.0,0.0014529547842036632
2025-10-23,12413.88,12531.62,12347.33,12524.63,2932235.0,4274652090.0,1252270215.0,0.0023415353690257657
2025-10-24,12524.37,12617.62,12365.59,12371.22,3822583.0,5578603148.0,1252270215.0,0.003052522494116815
2025-10-27,12285.9,12392.47,12251.69,12289.4,3710239.0,5352667152.0,1252270215.0,0.0029628102270243648
2025-10-28,12302.97,12381.46,12295.29,12328.56,2712433.0,3923817140.0,1252270215.0,0.00216601254865748
2025-10-29,12286.07,12341.79,12200.93,12216.8,3393711.0,4868780319.0,1252270215.0,0.002710046888722016
2025-10-30,12130.71,12257.15,12130.71,12172.77,4745610.0,6768821311.0,1252270215.0,0.0037896054247365456
2025-10-31,12132.33,12251.61,12116.2,12200.67,3569377.0,5109623861.0,1252270215.0,0.002850324919689957
2025-11-03,12209.12,12354.16,12116.12,12243.24,3454766.0,4945310830.0,1252270215.0,0.0027588023404357663
2025-11-04,12244.1,12249.9,12147.52,12192.05,2656572.0,3793892903.0,1252270215.0,0.0021214047640668353
2025-11-05,12165.52,12209.03,12115.35,12115.95,3447527.0,4908475373.0,1252270215.0,0.002753021639183521
2025-11-06,12200.58,12298.27,12200.5,12244.35,3834782.0,5505960415.0,1252270215.0,0.0030622640018632082
2025-11-07,12244.18,12284.03,12210.06,12229.0,1886139.0,2704995856.0,1252270215.0,0.0015061757258196867
2025-11-10,12243.24,12488.02,12243.07,12476.16,4945154.0,7181246441.0,1252270215.0,0.003948951225355144
2025-11-11,12473.61,12475.14,12345.63,12447.92,2669156.0,3882776772.0,1252270215.0,0.0021314537134463425
2025-11-12,12456.37,12613.19,12449.8,12500.48,3299210.0,4849073051.0,1252270215.0,0.002634583143862445
2025-11-13,12474.63,12572.4,12439.48,12545.1,3117923.0,4569178269.0,1252270215.0,0.002489816465051035
2025-11-14,12541.86,12618.22,12424.97,12427.53,2747306.0,4031007106.0,1252270215.0,0.0021938603722200644
2025-11-17,12405.35,12567.46,12335.3,12550.39,3446221.0,5035780027.0,1252270215.0,0.0027519787332800213
2025-11-18,12547.83,12678.97,12533.33,12593.05,3420478.0,5055675474.0,1252270215.0,0.0027314216684455757
2025-11-19,12575.99,12623.17,12541.52,12550.48,2204537.0,3249449214.0,1252270215.0,0.001760432352054305
2025-11-20,12558.92,12626.33,12499.46,12517.2,2400232.0,3531653943.0,1252270215.0,0.001916704534891457
2025-11-21,12546.13,12627.18,12422.41,12512.85,4260720.0,6259873433.0,1252270215.0,0.003402396662448767
2025-11-24,12516.26,12550.39,12380.86,12388.29,3360744.0,4901903705.0,1252270215.0,0.002683721100880771
2025-11-25,12439.48,12439.48,12324.3,12325.58,2844069.0,4119930011.0,1252270215.0,0.002271130436492894
2025-11-26,12361.67,12401.0,12316.45,12363.97,2030616.0,2938818095.0,1252270215.0,0.0016215477903065833
2025-11-27,12366.96,12371.22,12277.71,12348.19,2228689.0,3216797187.0,1252270215.0,0.0017797189243217767
2025-11-28,12341.36,12418.15,12311.5,12375.49,2321121.0,3366696622.0,1252270215.0,0.0018535304698594943
2025-12-01,12379.75,12475.91,12302.97,12354.16,2733342.0,3961994999.0,1252270215.0,0.002182709424259524
2025-12-02,12354.16,12387.6,12243.41,12252.03,2504726.0,3607543825.0,1252270215.0,0.0020001481868671613
2025-12-03,12250.16,12251.52,12183.52,12192.91,2357279.0,3370080066.0,1252270215.0,0.001882404429781954
2025-12-04,12192.91,12221.91,12101.44,12149.22,2907539.0,4134921902.0,1252270215.0,0.002321814385723452
2025-12-05,12149.22,12226.95,12111.0,12200.67,2540166.0,3622681597.0,1252270215.0,0.002028448788107605
2025-12-08,12193.76,12257.49,12098.2,12100.08,3360280.0,4789155770.0,1252270215.0,0.0026833505738216414
2025-12-09,12100.16,12123.8,11945.06,11953.25,4263443.0,5995722121.0,1252270215.0,0.0034045711132720665
2025-12-10,11944.63,11968.52,11801.12,11968.52,3313347.0,4625906139.0,1252270215.0,0.002645872240920463
2025-12-11,12001.45,12046.93,11957.85,12046.93,2238501.0,3149974074.0,1252270215.0,0.0017875542939428612
2025-12-12,12098.2,12157.93,12060.41,12120.81,3715919.0,5273563274.0,1252270215.0,0.002967345989299921
2025-12-15,12282.41,12285.82,12162.79,12166.46,3335879.0,4774362060.0,1252270215.0,0.0026638651626797656
2025-12-16,12168.16,12190.18,12072.61,12132.33,2396367.0,3403139194.0,1252270215.0,0.001913618140314868
2025-12-17,12157.93,12285.39,12095.47,12227.03,3138249.0,4489482138.0,1252270215.0,0.0025060477861800776
2025-12-18,12230.45,12276.35,12167.4,12209.12,1782995.0,2551177659.0,1252270215.0,0.0014238101159341236
2025-12-19,12234.78,12256.03,12156.77,12234.78,2650868.0,3733028357.0,1252270215.0,0.0021168498365985652
2025-12-22,12234.78,12270.7,12205.1,12219.68,2042565.0,2881636856.0,1252270215.0,0.0016310896606288763
2025-12-23,12219.68,12260.2,12123.62,12216.21,2450681.0,3445377032.0,1252270215.0,0.0019569905685251805
2025-12-24,12191.3,12203.19,12148.0,12155.81,2518669.0,3533253565.0,1252270215.0,0.0020112823652840774
2025-12-25,12191.39,12317.03,12159.98,12270.96,2338621.0,3299572096.0,1252270215.0,0.0018675050895465082
2025-12-26,12270.96,12314.08,12234.78,12270.61,1780299.0,2520605635.0,1252270215.0,0.0014216572259526273
2025-12-29,12270.61,12270.61,12156.68,12165.36,2630810.0,3694660107.0,1252270215.0,0.002100832526788158
2025-12-30,12156.68,12164.49,12026.52,12058.8,3379194.0,4702489813.0,1252270215.0,0.0026984543427793655
2025-12-31,12061.23,12095.94,11949.9,11949.99,3476563.0,4799456452.0,1252270215.0,0.002776208328168214
2026-01-05,12017.85,12424.63,12017.85,12373.61,7094942.0,10018086372.0,1252270215.0,0.005665663780081202
2026-01-06,12430.44,12468.8,12291.44,12391.05,3958618.0,5649710153.0,1252270215.0,0.003161153202066696
2026-01-07,12433.31,12451.7,12323.28,12350.7,2968380.0,4234255286.0,1252270215.0,0.0023703989478021724
2026-01-08,12350.44,12350.7,12218.64,12254.73,2913454.0,4117925041.0,1252270215.0,0.0023265378071776624
2026-01-09,12295.52,12396.17,12286.92,12313.74,2984774.0,4243865418.0,1252270215.0,0.002383490371524967
2026-01-12,12313.74,12417.0,12296.38,12349.57,3608266.0,5135636033.0,1252270215.0,0.002881379718833287
2026-01-13,12380.46,12404.15,12226.01,12243.45,3916866.0,5555633779.0,1252270215.0,0.0031278121551425704
2026-01-14,12243.45,12341.07,12114.86,12130.74,5175797.0,7285041159.0,1252270215.0,0.004133131122982111
2026-01-15,12113.47,12172.56,12048.91,12051.6,4090714.0,5698739671.0,1252270215.0,0.0032666384227624545
2026-01-16,12104.62,12126.31,11974.46,11991.82,5512068.0,7643061998.0,1252270215.0,0.004401660227940501
2026-01-19,11990.95,12039.45,11931.08,11939.75,4228640.0,5833745442.0,1252270215.0,0.0033767791881882296
2026-01-20,11970.12,11988.17,11905.48,11918.49,3648443.0,5021900765.0,1252270215.0,0.0029134630499855815
2026-01-21,11918.58,11925.87,11714.15,11723.34,6451625.0,8775880803.0,1252270215.0,0.005151943185041736
2026-01-22,11731.59,11816.19,11605.51,11627.9,5901089.0,7962441434.0,1252270215.0,0.004712312829384032
2026-01-23,11628.24,11696.79,11562.04,11601.34,6194890.0,8301311489.0,1252270215.0,0.00494692752873628
